date;text;					
2017-11-15 02:38;"Going on board my @easyJet flight in @EdiAirport this afternoon	 with my suitable cabin luggage	 was an extremely upsetting experience. Saying that #EasyJet staff poorly managed the situation would be an understatement. They were rude and offensive. #NeverAgain pic.twitter.com/6PBfKmL9Un"			
2017-11-14 15:21;"After chatting with an @easyJet representative	 I was left (actually abandoned) more confused than I was before. Did I mention that I was also accused of lying? I understand that people might be underpaid but come on	 we can do better than that <3 #easyjet #whyYouNotLoveMe"			
2017-11-14 15:16;"Problems Being Faced By Easyjet Economics Essay http:// dlvr.it/Q0sRh9 #lowcost #easyjet"					
2017-11-14 15:00;"#EasyJet #7Nights #Flight + #Hotel 4* #BeachDeals from #London http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2F4-star-deals … … #traveltuesday pic.twitter.com/mkJKSflTty"					
2017-11-14 14:47;"#EasyJet emailing me some good flight deals	 someone come with me (anywhere) haha #travel"				
2017-11-14 14:30;"#EasyJet #Flight + #Hotel 3* #BeachHoliday & #CityBreak #Packages #CANNES70 { http://www. awin1.com/cread.php?awin mid=6296&awinaffid=229659&clickref=&p=http%3A%2F%2Fwww.easyjet.com%2Fen%2Fholidays%2Fdeals%2F3-star-deals … } #TRAVELTUESDAY pic.twitter.com/hznYx77X0V"					
2017-11-14 14:23;"Genuinely wondering if airlines ever test their seats on tall people.. According to them being short seems like a whole new privilege category. #grumpyboyfriend #cheapflights #whitetallmannonprivileged #Easyjet"					
2017-11-14 14:15;"#EasyJet #Flight + #Hotel #SpringHolidays Use Code SUMMER18 { http:// tidd.ly/e6bb74ec } #Beachthursday #tuesdaytravel pic.twitter.com/1rYoAodGj7"					
2017-11-14 13:51;"@easyJet #Easyjet quiero la devolución de la DEUDA que tienen conmigo! ya les di la solución! Desastre servicio	 eterno reclamo! https:// twitter.com/jupasetti/stat us/930009269101002753 …"				
2017-11-14 13:21;"Friendly was from the crew on @easyJet last Sunday as this bird heads to Las Palmas #avgeek #aviation #easyjet #airbus #a320 #cockpit #pilot #mcr #manchester #manchesterairport pic.twitter.com/SekAm81avx"					
2017-11-14 13:02;"@easyJet Still no compensation for a severally delayed flight due to the plane’s CRACKED WINDSCREEN! Budget airline doesn’t even cut it! What would have happened if it had cracked mid flight?! I had my 1 year old son with me! #easyjet #21daysandcounting"					
2017-11-14 12:35;"If #easyjet doesn't have space for overhead luggage	 at least they should have plastic bags for people to put their valuable items in. Laptop	 phone	 documents	 wallet	 etc. all to carry. Not helpful and borderline rude personnel. Disappointed."
2017-11-14 11:58;"@easyJet a quick shout out to the cabin crew on the 15:05 Gatwick-Edinburgh flight on Sunday! Super polite and friendly	 especially Paul! Thank you #customerservice #team #easyjet #welldone"				
